BRAND,PRODUCT NAME,PRODUCT DESCRIPTION,SKU CODE,VARIANT NAME,VARIANT DESCRIPTION,HSN,GST %,Sale Price,Total Price(Sale Price + GST),MRP,CATEGORY
Timbatku,Proso millet rice Timbatku,0.0,1304200885,,"",-,0.0,67.0,67.0,0.0,Recently Added
Strategi,Nature spray lavender,0.0,2949048945738,,"",-,0.0,157.20524017467247,157.20524017467247,0.0,Recently Added
"",Banana,0.0,banana yalakki,,"",-,0.0,90.0,90.0,0.0,Recently Added
"",Organic banana,"",100,,"",-,0.0,50.0,50.0,0.0,Recently Added
"",Herbal shampoo Rushikesh,0.0,799439697232,,"",-,0.0,95.0,95.0,0.0,Recently Added
"",Onions,"",001,,"",-,0.0,40.0,40.0,0.0,Recently Added
"",Beet Root,"",SSTBS0005,,"",-,0.0,60.0,60.0,0.0,Vegetables &amp; Fruits
Lakshadweep,Dry Fruit Laddu - Lakshadweep,"",000068,,"",-,0.0,10.0,10.0,0.0,Homemade Food
Desi Utthana,Neem Powder ,neem powder 100gms,000146,,"",-,0.0,35.0,35.0,0.0,Natural Health Food
"",Drum Stick,"",SSTBS0023,,"",-,0.0,8.0,8.0,0.0,Vegetables &amp; Fruits
"",Cabbage,"",SSTBS0011,,"",-,0.0,45.0,45.0,0.0,Vegetables &amp; Fruits
Maa Gou Prodcuts,Home Made Pickles Jeerige Midi,"",000397,,"",-,0.0,150.0,150.0,0.0,Homemade Food
"",Bitter Gourd,"",SSTBS0006,,"",-,0.0,72.0,72.0,0.0,Vegetables &amp; Fruits
Maa Gou Prodcuts,Appemedi Pickle,"",000398,,"",-,0.0,180.0,180.0,0.0,Homemade Food
Maa Gou Prodcuts,Home Made Pickles (Crane Berry) Maa Gou,"",000636,,"",-,0.0,100.0,100.0,0.0,Homemade Food
Timbaktu Organic,Korra Pongal Mix,"",2304200873,,"",-,0.0,53.0,53.0,0.0,Homemade Food
Timbaktu Organic,Sama Pongal Mix,"",2304200874,,"",-,0.0,53.0,53.0,0.0,Homemade Food
Timbaktu Organic,Arika Pongal Mix,"",2304200875,,"",-,0.0,53.0,53.0,0.0,Homemade Food
Timbaktu Organic,Ragi dosa mix,"",2304200876,,"",-,0.0,40.0,40.0,0.0,Homemade Food
Desi Utthana,Ritha Powder ,Ritha Powder,000201,,"",-,0.0,34.0,34.0,0.0,Natural Health Food
Timbaktu Organic,Muruku,"",2304200879,,"",-,0.0,62.0,62.0,0.0,Homemade Food
Desi Utthana,Methi Powder ,Methi Powder ,000202,,"",-,0.0,50.0,50.0,0.0,Natural Health Food
"",Bottle Gourd,"",SSTBS0007,,"",-,0.0,50.0,50.0,0.0,Vegetables &amp; Fruits
mathru enterprises,Sesame Flaxseed Bar Pro,"Sesame Flaxseed Bar Pro
100cubes",000399,,"",-,0.0,20.0,20.0,0.0,Natural Health Food
Timbaktu Organic,Bariga Upma Mix,"",2304200902,,"",-,0.0,63.0,63.0,0.0,Homemade Food
"",Capsicum,"",SSTBS0012,,"",-,0.0,120.0,120.0,0.0,Vegetables &amp; Fruits
Timbaktu Organic,Horsegram Rasam Mix,"",2304200904,,"",-,0.0,50.0,50.0,0.0,Homemade Food
"",Carrot Ooty,"",SSTBS0014,,"",-,0.0,65.0,65.0,0.0,Vegetables &amp; Fruits
"",Chilli Green,"",SSTBS0015,,"",-,0.0,60.0,60.0,0.0,Vegetables &amp; Fruits
"",Coli Flower,"",SSTBS0018,,"",-,0.0,40.0,40.0,0.0,Vegetables &amp; Fruits
"",Corn,"",SSTBS0019,,"",-,0.0,25.0,25.0,0.0,Vegetables &amp; Fruits
Maa Gou Prodcuts,Gomay Khanda,"",000003,,"",-,0.0,50.0,50.0,0.0,Organic
Maa Gou Prodcuts,Haridra Bharathi -100 Gms Turmeric Powder ,"",000004,,"",-,0.0,28.0,28.0,0.0,Organic
Originnel,Originnel Sesame Chikki,Originnel Sesame Chikki,000529,,"",-,0.0,30.0,30.0,0.0,Natural Health Food
Maa Gou Prodcuts,Haridra Bharathi- 50 Gms,"",000005,,"",-,0.0,15.0,15.0,0.0,Organic
Originnel,Originnel Peanut Chikki,Originnel Peanut Chikki,000530,,"",-,0.0,25.0,25.0,0.0,Natural Health Food
ForGreen,Jaggery Powder ,"",000016,,"",-,0.0,55.0,55.0,0.0,Organic
